id,dataset,p,q,P,Q,s,ar,ma,sar,sma,r_loglik,py_loglik
81,ar2_shared,1,2,0,0,0,[0.7],"[-0.4, 0.2]",[],[],-144.490860125338,-144.490860126337
82,ar2_shared,1,2,0,0,0,[-0.3],"[0.5, -0.1]",[],[],-163.389064644637,-163.38906464843163
83,ar2_shared,2,2,0,0,0,"[0.5, 0.1]","[0.4, 0.2]",[],[],-150.662266253986,-150.66226625250647
84,ar2_shared,2,2,0,0,0,"[0.3, 0.3]","[0.3, -0.3]",[],[],-147.156223188008,-147.1562231857704
85,ar2_shared,2,2,0,0,0,"[0.6, -0.2]","[-0.4, 0.2]",[],[],-153.624840697255,-153.62484069846505
86,ar2_shared,2,2,0,0,0,"[-0.4, 0.3]","[0.5, -0.1]",[],[],-157.228982848479,-157.2289828556735
87,ma1_shared,1,0,0,0,0,[0.3],[],[],[],-130.698823749796,-130.69882374979608
88,ma1_shared,1,0,0,0,0,[0.5],[],[],[],-129.384159450994,-129.38415945099408
89,ma1_shared,1,0,0,0,0,[0.7],[],[],[],-132.983127895425,-132.98312789542518
90,ma1_shared,1,0,0,0,0,[-0.3],[],[],[],-156.090843935247,-156.0908439352466
91,ma1_shared,1,0,0,0,0,[-0.5],[],[],[],-167.29353960728,-167.2935396072795
92,ma1_shared,2,0,0,0,0,"[0.5, 0.1]",[],[],[],-132.965903081547,-132.96590308154734
93,ma1_shared,2,0,0,0,0,"[0.3, 0.3]",[],[],[],-140.781676628778,-140.7816766287781
94,ma1_shared,2,0,0,0,0,"[0.6, -0.2]",[],[],[],-125.630237770807,-125.63023777080676
95,ma1_shared,2,0,0,0,0,"[-0.4, 0.3]",[],[],[],-161.767454600123,-161.76745460012273
96,ma1_shared,2,0,0,0,0,"[0.2, 0.5]",[],[],[],-150.638527910626,-150.63852791062553
97,ma1_shared,3,0,0,0,0,"[0.5, -0.2, 0.1]",[],[],[],-127.811257062616,-127.81125706261638
98,ma1_shared,3,0,0,0,0,"[0.3, 0.2, -0.3]",[],[],[],-131.228380859667,-131.22838085966671
99,ma1_shared,3,0,0,0,0,"[0.6, -0.1, -0.2]",[],[],[],-125.741889780323,-125.74188978032336
100,ma1_shared,0,1,0,0,0,[],[0.2],[],[],-132.853170791232,-132.85317079230458
101,ma1_shared,0,1,0,0,0,[],[0.4],[],[],-128.114020041503,-128.11402004283462
102,ma1_shared,0,1,0,0,0,[],[0.6],[],[],-128.643281824357,-128.64328181993793
103,ma1_shared,0,1,0,0,0,[],[-0.3],[],[],-156.550047426525,-156.5500474261598
104,ma1_shared,0,1,0,0,0,[],[-0.5],[],[],-169.985416043729,-169.98541603825566
105,ma1_shared,0,2,0,0,0,[],"[0.4, 0.2]",[],[],-128.329984609083,-128.32998460913302
106,ma1_shared,0,2,0,0,0,[],"[0.3, -0.3]",[],[],-133.905722721736,-133.90572271788884
107,ma1_shared,0,2,0,0,0,[],"[-0.4, 0.2]",[],[],-163.723350345213,-163.7233503480382
108,ma1_shared,0,2,0,0,0,[],"[0.5, -0.1]",[],[],-129.389245436899,-129.38924543331106
109,ma1_shared,0,3,0,0,0,[],"[0.4, 0.2, -0.1]",[],[],-127.032454218738,-127.03245422108338
110,ma1_shared,0,3,0,0,0,[],"[0.3, -0.2, 0.2]",[],[],-137.438172133382,-137.4381721284191
111,ma1_shared,0,3,0,0,0,[],"[-0.3, 0.2, 0.1]",[],[],-162.210957725786,-162.21095772309968
112,ma1_shared,1,1,0,0,0,[0.3],[0.2],[],[],-127.292979840733,-127.29297984079942
113,ma1_shared,1,1,0,0,0,[0.5],[0.4],[],[],-132.561287844805,-132.56128784310772
114,ma1_shared,1,1,0,0,0,[0.7],[0.6],[],[],-152.264404802252,-152.26440479004103
115,ma1_shared,1,1,0,0,0,[-0.3],[-0.3],[],[],-175.154047640426,-175.1540476389148
116,ma1_shared,1,1,0,0,0,[-0.5],[-0.5],[],[],-203.100806336536,-203.1008063323968
117,ma1_shared,2,1,0,0,0,"[0.5, 0.1]",[0.2],[],[],-131.652541672604,-131.652541672642
118,ma1_shared,2,1,0,0,0,"[0.3, 0.3]",[0.4],[],[],-133.602439829659,-133.60243983008175
119,ma1_shared,2,1,0,0,0,"[0.6, -0.2]",[0.6],[],[],-150.902528874842,-150.90252885525354
120,ma1_shared,2,1,0,0,0,"[-0.4, 0.3]",[-0.3],[],[],-178.075681571954,-178.07568156814546
